Recipe Name,Prep Time,Cook Time,Total Time,Serves,Freezing Time,Ingredients,Directions
"If You Like Banana Bread, You&#39;ll Love These Pancakes",PT5M,PT20M,PT25M,6,N/A,"2 large ripe bananas (about 14 ounces; 400 g total)1 tablespoon dark brown sugar (1/2 ounce; 14 g)
1 large egg
1 teaspoon vanilla extract
5 3/4 ounces all-purpose flour (160 g; 1 1/4 cup)3/4 teaspoon baking powder3/4 teaspoon baking soda1/2 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume
3 tablespoons (42 g) unsalted butter, plus more for cooking
1/4 teaspoon ground cinnamon
1/2 cup (120 ml) buttermilk (see notes)
1/2 cup toasted walnuts, coarsely chopped (optional)
Maple syrup, for serving","In a large bowl, mash bananas with dark brown sugar, egg, and vanilla extract until mostly smooth; set aside.
In a small saucepan or skillet, melt butter over medium heat. Cook, stirring often, until butter solids turn golden brown and smell nutty, 4 to 6 minutes. Remove saucepan from heat and whisk in cinnamon. Let cool slightly, about 5 minutes.
In a medium bowl, whisk together all-purpose flour, baking powder, baking soda, and salt; set aside.
Pour butter over banana mixture and whisk to combine. Add buttermilk and whisk to incorporate. Add flour mixture, whisking until just combined. Using a flexible spatula, fold in walnuts, if using.
Place a wire rack inside a rimmed baking sheet; set aside.
Heat a large electric nonstick griddle to medium heat (350°F/175°C) or large nonstick, cast iron, or carbon steel skillet or stovetop griddle over medium heat. Melt 1/2 tablespoon butter and, using a 1/3 cup scoop or measuring cup, scoop batter onto griddle or skillet to form 3-inch pancakes spaced 1/2- to 1-inch apart, working in batches if necessary. Cook until bubbles start to appear on top of batter and bottoms are golden brown, 2 to 4 minutes, adjusting heat as needed to prevent overbrowning. Carefully flip pancakes and cook until bottoms are lightly golden and pancakes are cooked through, 2 to 4 minutes. Transfer to prepared wire rack. Repeat with remaining batter. Serve warm with maple syrup."
This Easy Banana Oatmeal Is Inspired By Our Favorite New Orleans Dessert,N/A,PT30M,PT30M,6,N/A,"6 cups (1.5L) water
1 1/2 cups steel-cut oats (9 ounces; 270g)
Kosher salt
4 tablespoons unsalted butter (2 ounces; 55g)
1/4 cup dark brown sugar (1 1/2 ounces; 40g)
4 medium ripe bananas (15 ounces; 450g), peeled and sliced
3/4 cup chopped walnuts (3 ounces; 75g)
2 tablespoons (30ml) peanut butter
Orange zest, for garnish
Ground cinnamon and nutmeg, for garnish","In a medium saucepan, combine water and oats and bring to a simmer over medium-high heat. Continue to cook, stirring occasionally and adjusting heat to maintain simmer, until oats are fully cooked and oatmeal has thickened, about 20 minutes. Season with salt.
Meanwhile, in a medium skillet, melt butter over medium-high heat until foamy. Stir in brown sugar until dissolved, lowering heat if it threatens to scorch. Stir in bananas and cook until softened and slightly caramelized, about 4 minutes. Stir in walnuts and cook until coated in a shiny, sugary lacquer, about 1 minute. Season with salt.
Stir peanut butter and half of banana-walnut mixture into oatmeal, using a wooden spoon to crush bananas as you stir. Spoon oatmeal into bowls and top with remaining banana-walnut mixture, grated orange zest, and a light dusting of cinnamon and nutmeg. Serve right away."
18th Century Italians Proposed With Cream Buns—Do the Same With Our Maritozzi Recipe,PT375M,PT30M,PT420M,"['8', '10 buns']",N/A,"2 1/2 ounces glutinous rice flour (70 g; 6 tablespoons plus 1 teaspoon), see notes3/4 cup plus 2 tablespoons whole milk (200 ml; 209 g) whole milk1 1/2 ounces honey (45 g; 2 tablespoons)","For the Scald : Place sweet rice flour in a medium bowl. In a small saucepan, combine whole milk and honey, and bring to a boil over medium heat, 3 to 5 minutes. Pour boiling milk and honey over sweet rice flour and rapidly whisk until mixture thickens to a pudding-like consistency and registers between 155 to 170°F (68 to 77°C).
Cover bowl with a large plate or plastic wrap, and let sit until mixture has cooled to at least 80°F (27°C), about 1 hour.
For the Dough: Add milk, olive oil, and egg yolk to the scald mixture. Whisk until well combined.
In the bowl of a stand mixer fitted with the dough hook attachment, combine flour, orange zest, salt, and yeast, and mix on low speed until well combined, about 15 seconds. Turn off mixer, then add scalded rice flour mixture all at once and mix on low speed until dough is uniform, about 2 minutes, using a flexible spatula to scrape down sides of bowl and dough hook as needed.
Increase speed to medium and mix until dough just starts to come away from sides of bowl, about 8 minutes. (The dough will remain sticky and webby. Do not overmix here— the dough should not be bouncy.)
Lightly grease a large bowl with olive oil; the bowl should be big enough for dough to double in size. Transfer dough to the greased bowl, and cover bowl tightly with plastic wrap. Let sit at warm room temperature (75 to 80°F; 24 to 27°C) until dough is puffy and expanded by about 1 1/2 times its original volume, 60 to 90 minutes.
Using lightly moistened hands, deflate dough until it is restored to its original volume. Cover tightly with plastic wrap and refrigerate until dough is no higher than 55°F (13°C), at least 2 hours and up to 24 hours.
Lightly flour top of dough and transfer to a lightly floured work surface. Using a knife or dough scraper, divide dough into 8 equal pieces, each about 70g (2 1/2 ounces) each. Gently shape each into a round. Cover loosely with plastic wrap and let sit for 30 minutes. Line two 13- by 18-inch rimmed baking sheets with parchment paper; set aside.
Working with one ball of dough at a time (seam-side down) on a lightly floured work surface, shape each dough portion by cupping the dough in your hand and rolling it in a circular motion until a tight ball forms. Repeat with remaining dough portions and transfer buns to prepared baking sheet, spacing about 1 inch apart. Loosely cover with plastic wrap, and let buns rise until puffy and doubled in volume, about 3 hours.
When buns have proofed for about 2 hours 30 minutes, adjust oven racks to the second-from-top and second-from bottom positions. Preheat to 350°F (175°C). Brush buns with egg wash and bake until golden brown and puffed, about 20 minutes.
Remove from oven. Let cool on trays for 5 minutes, then transfer to a wire rack to cool completely, about 15 minutes.
For the Filling: While the buns cool, in the bowl of a stand mixer fitted with the whisk attachment, whisk mascarpone on medium speed until smooth, about 1 minute. Add heavy cream, powdered sugar, vanilla extract, and salt, and whip on medium speed until stiff peaks form, 3 to 4 minutes. (Alternatively, filling can be prepared in a large bowl using an electric hand mixer.)
When buns have cooled, use a serrated knife to cut a slit from top to bottom most of the way through each bun. Take care not to cut all the way through; the bottom should remain intact. Gently open 1 bun and, using a spoon or offset spatula, fill bun with cream mixture. Using an offset spatula, level cream with bun and smooth the edges, removing excess cream as needed. Garnish with desired toppings and dust with confectioners’ sugar. Repeat with remaining buns."
How to Make Bakery-Worthy Morning Glory Muffins,PT25M,PT25M,PT80M,12,N/A,"For the Muffins:
9 ounces white whole wheat flour (255 g; 2 cups)
5 1/2 ounces light brown sugar (159 g; 3/4 cup)
1 1/2 teaspoons ground cinnamon
1 teaspoon baking soda
1/2 teaspoon ground ginger
1/2 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume
3 large carrots, peeled and shredded (7 ounces; 200 g)
1 large sweet, crisp apple, such as Honeycrisp (8 ounces; 226g), cored and shredded
1 ounce shredded unsweetened coconut (30 g; 1/2 cup)
2 1/2 ounces golden raisins (75 g; 1/2 cup)
2 ounces pecans, lightly toasted and chopped (60 g; 1/2 cup)
3 large eggs
1/2 cup (120 ml) vegetable oil
2 medium oranges, zested and juiced
2 teaspoons vanilla extract
For the Glaze:
4 ounces unsifted confectioners sugar (113 g; 1 cup)
1/2 teaspoon grated orange zest plus 3 to 4 teaspoons fresh juice, from above","For the Muffins: Adjust oven rack to middle position, and preheat to 350°F (175ºC). Line a 12-cup muffin pan with paper liners.
In a large bowl, whisk flour, brown sugar, cinnamon, baking soda, ginger, and salt to combine. Using a flexible spatula, fold in carrots, apple, coconut, golden raisins, and pecans until well combined.
In a medium bowl, whisk eggs, oil, 1 teaspoon orange zest, 1/4 cup orange juice, and vanilla to combine.
Fold egg mixture into carrot mixture until just combined. Divide batter evenly among prepared muffin cups (heaping 1/3 cup each). (It’s OK if the batter reaches the top of the paper liner.)
Bake until a cake tester or wooden pick inserted into the center comes out clean, 25 to 28 minutes. Let cool in pan for 10 minutes; transfer to a wire rack to cool completely, about 20 minutes.
For the Glaze : In a medium bowl, whisk powdered sugar and 1/2 teaspoon orange zest. Whisk in 3 to 4 teaspoons orange juice, 1/2 teaspoon at a time, until mixture is smooth and pourable.
Drizzle glaze over the cooled muffins. Garnish with additional orange zest if desired. Serve."
How to Make Truly Great Churros the Easy Way—No Special Tools Required,PT5M,PT45M,PT80M,"['6', '12 churros']",N/A,"3/4 cup (177 ml) water
6 tablespoons (84g) unsalted butter, cut into 1/2-inch cubes
2 teaspoons (8g) sugar
1/2 teaspoon (2g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight
4 1/2 ounces all-purpose flour (1 cup; 128g), sifted
1 large egg","In a 3-quart stainless-steel saucier or saucepan, combine water (or milk), butter, sugar, and salt.
Set over high and and cook until liquid comes to a rolling boil and butter has fully melted, about 4 minutes.
Remove from heat and add flour. Using a wooden spoon or stiff silicone spatula, thoroughly mix in flour until no lumps remain (make sure to hunt down and smash out any stubborn ones).
Return saucepan to medium-high heat and cook, stirring very frequently, until dough registers 175°F (80°C) on an instant-read thermometer; if you don&#39;t have a thermometer, other signs the dough is ready include a thin starchy film forming all over the inside of the saucier and the dough pulling together into a cohesive mass.
Let dough cool in saucepan, stirring frequently, until it registers 145°F on an instant-read thermometer. Add eggs 1 at a time, stirring well between additions until each egg is fully incorporated before adding the next, until a smooth, shiny paste forms.
Transfer choux dough to a pastry bag fitted with a roughly 1/2-inch (15mm) star piping tip. Line a rimmed baking sheet with parchment and, using a ruler as a guide and a permanent marker for easily visible lines, draw 12 evenly spaced 7-inch lines. Flip paper over, then, holding the bag at a 45° angle, lightly drag the tip along the surface of the paper and apply steady downward pressure, while slowly piping a 1-inch wide line of choux following a single line on the template. To stop piping, cease applying pressure and move the pastry tip up and over toward the opposite end of the churro before completely lifting away. Continue to pipe until tray is full. Transfer to freezer and freeze until firm, at least 30 minutes. (If desired, you can skip this freezing step and instead pipe the pastry directly into the frying oil, snipping each length free with lightly oiled kitchen shears before piping the next, though this is a little trickier than freezing.)
Set a wire rack inside a rimmed baking sheet and line rack with paper towels. In a large Dutch oven or fryer, heat 2 inches of oil over medium-high heat to 350°F (175°C). Working in batches to avoid crowding the oil, fry frozen choux sticks until puffed and deep golden, about 2 minutes. Using a spider or strainer, carefully transfer churros to prepared wire rack and let drain. If using cinnamon sugar, toss churros in it while still warm to adhere, and/or serve with hot, thick chocolate (if desired) for dipping on the side."
Savory Turmeric Masala Oats,N/A,PT20M,PT20M,"['2', '4 cups']",N/A,"2 tablespoons (30ml) extra-virgin olive oil
1/2 teaspoon whole cumin seeds
1/2 teaspoon black mustard seeds
1 medium clove garlic, minced
1 small yellow onion (4 ounces; 113g), finely chopped
1 1/2 teaspoons ground coriander
1/2 teaspoon red pepper flakes
1/2 teaspoon ground turmeric
1 medium ripe plum tomato, finely chopped
1/2 medium green bell pepper, stemmed, seeded, and cut into 1/2-inch cubes
3/4 cup old-fashioned oats (about 3 1/4 ounces; 90g)
1 tablespoon Diamond Crystal kosher salt; for table salt, use half as much by volume","In a small pot or saucepan , heat oil over medium heat until shimmering. Add cumin seeds and mustard seeds and cook, allowing seeds to sizzle and pop, until they stop popping and darken slightly, about 30 seconds. Add garlic and onion and cook, stirring frequently, until onions are translucent and have begun to soften and brown around the edges, 3 to 4 minutes. Add coriander, red pepper flakes, and turmeric, and sauté until fragrant, 30 to 45 seconds.
Add tomato and pepper and cook until softened and pepper is bright green, 3 to 4 minutes. Add 1 1/2 cups water, salt, and oats, stirring to combine. Bring to a boil, then reduce heat to maintain a gentle simmer and cook uncovered, stirring gently and frequently, until oats have softened and thickened but mixture still flows slightly, 8 to 10 minutes. (For looser oatmeal, add water, 1 tablespoon at a time, until you reach your desired consistency.) Remove from heat and divide oats evenly between two bowls. Garnish with cilantro and serve with a squeeze of lime juice, halved boiled eggs, and yogurt, if desired."
Make-Ahead Rice Cooker Oatmeal,PT5M,"{'@type': 'Duration', 'minValue': 'PT45M', 'maxValue': 'PT90M'}","{'@type': 'Duration', 'minValue': 'PT50M', 'maxValue': 'PT95M'}",4,N/A,"1 cup (180g) steel-cut oats
3 cups (710ml) water
Pinch kosher salt","In a rice cooker, combine oats, water, and salt. Close cooker and set to porridge mode (or the most appropriate mode for your cooker; consult manufacturer&#39;s directions). If a timer function is available on your cooker, you can use it to set when you want your oatmeal ready (for example, you can fill the cooker the night before and specify that you want it ready at 7am; the cooker will turn on early enough to ensure it&#39;s ready when you wake up). If not using a timer function, the cooking time will vary with different rice cooker models, anywhere from about 40 minutes up to 1 hour 30 minutes.
When ready, open rice cooker and stir oatmeal to ensure an even consistency throughout. Spoon into bowls and top as desired, then serve right away."
Classic Yeasted Coffee Cake,PT45M,PT35M,PT430M,"['8', '1 9-inch coffee cake']",N/A,"For the Tangzhong:
80g whole milk (about 2 3/4 ounces; 1/3 cup)
16g bread flour (1/2 ounce; 2 tablespoons)
For the Dough:
60g whole milk (about 2 ounces; 1/4 cup), cold
256g bread flour (9 ounces; 2 cups)
56g unsalted butter (about 2 ounces; 4 tablespoons), softened
3 large egg yolks
30g granulated sugar (1 ounce; 2 tablespoons)
1 1/2 teaspoons instant yeast
1 1/2 teaspoons Diamond Crystal kosher salt; for table salt, use half as much by volume
For the Filling:
71g light brown sugar (2 1/2 ounces; 1/3 cup)
16g all-purpose flour (1/2 ounce; 2 tablespoons)
1 1/2 teaspoons ground cinnamon
1/4 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume
30g finely chopped pecans (1 ounce; 1/4 cup)
14g unsalted butter (about 1/2 ounce; 1 tablespoon), melted
To Finish:
Nonstick spray
100g pecan halves (3 1/2 ounces; 1 cup)
14g unsalted butter (about 1/2 ounce; 1 tablespoon), melted
100g confectioners sugar (3 1/2 ounces; 1 cup)
1 tablespoon (15ml) whole milk, plus more as needed
1/2 teaspoon vanilla extract
Pinch kosher salt","For the Tangzhong: In a small saucepan, whisk milk and flour to combine. Cook over medium heat, whisking constantly, until mixture thickens to a stretchy pudding-like consistency, 2 to 3 minutes.
For the Dough: Using a flexible spatula, scrape hot tangzhong into the bowl of a stand mixer fitted with the dough hook attachment; let cool until just warm to the touch, about 10 minutes. Add cold milk to tangzhong, followed by the flour, butter, egg yolks, sugar, yeast, and salt. Mix on low speed until dough is smooth, supple, and elastic, 12 to 15 minutes. (The dough should pass the “windowpane” test: Pull off a golf-ball-sized piece of dough and, using two hands, stretch it as thin as you can without the dough ripping. If you can see through it, the dough is ready to rest. If not, continue kneading for another 2 to 4 minutes or until the dough passes this test.)
Loosely cover bowl with plastic wrap or a damp towel, and let sit at warm room temperature (75 to 80ºF; 24 to 27ºC) until nearly doubled in size, 60 to 90 minutes.
Meanwhile, prepare the filling: In a small bowl, whisk brown sugar, flour, ground cinnamon, and salt to combine. Add pecans, followed by the melted butter, using your hands to toss and gently press until the mixture is sandy. Set aside.
Grease a 9-inch aluminum cake pan with nonstick spray. Line the pan with two 15-inch by 3-inch strips of parchment paper, overlapping them to form an “X” in the bottom of the pan. (There should be about 3 inches of overhang on the edges.)
When dough has risen, lightly flour top of dough and transfer to a lightly-floured work surface. Roll dough into a 9- by 16-inch rectangle. Scatter the filling evenly over the surface of the dough, and starting with the long end, roll the dough up as tightly as possible. Carefully pinch dough together along the seam to seal, and gently pat log to ensure even thickness; brush off any excess flour from the dough.
Gently coil dough around itself to create a circular shape. Cover with a clean, damp kitchen towel and let dough rest for 5 to 10 minutes to allow gluten to relax. Roll dough into a 9-inch wide circle about 3/4-inch thick, then transfer dough to prepared pan. Loosely cover with plastic wrap or damp kitchen towel and let rise at warm room temperature until dough appears slightly puffed, about 30 minutes. Tightly wrap cake pan with plastic wrap and refrigerate at least 2 hours and up to 12.
When ready to bake, remove dough from refrigerator and let rise at warm room temperature until roughly doubled in size, dough is about 1 3/4-inches tall, and bounces back slowly when gently pressed, 1 to 2 hours.
To Bake: Adjust oven rack to middle position and preheat to 350ºF (175ºC).
Firmly press pecan halves into the surface of the dough, arranging them in a circular pattern around the dough. (Dough will deflate slightly—this is fine.)
Bake until light golden brown and an instant-read thermometer inserted into the center of the cake registers 190°F (88ºC), 20 to 25 minutes. Remove cake from oven and, using a pastry brush, immediately brush cake with melted butter. Lift the parchment to remove the cake from the pan and transfer it to a wire cooling rack. Let cool until slightly warm, 30 to 40 minutes.
In a medium bowl, whisk confectioners sugar, milk, vanilla extract, and salt until smooth. Glaze should be thick but pourable; if glaze seems too thick, whisk in milk, 1 teaspoon at a time, until glaze is the right consistency.
Using a spoon, drizzle glaze evenly over cake. Let set for 10 minutes before slicing with a serrated knife and serving."
Apple Pie Pancakes,PT25M,PT35M,PT80M,"['4', '4 pancakes per person for 2 servings or 2 pancakes per person for 4 servings']",N/A,"For the Pancakes:
1 1/3 cups all-purpose flour (6 ounces; 170g)
1 teaspoon baking powder
1 teaspoon ground cinnamon
1/2 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume1/4 teaspoon baking soda1/4 teaspoon pumpkin pie spice (see notes)
1 cup peeled and grated Golden Delicious apples (about 6 1/4 ounces; 180g) from 1 medium apple
4 tablespoons light brown sugar (2 ounces; 57g)1 large egg, at room temperature1/2 cup (120ml) whole milk, at room temperature1/3 cup sour cream (2 1/2 ounces; 70g), at room temperature3 tablespoons unsalted butter (1 1/2 ounces; 42g), melted1 teaspoon vanilla extractChopped toasted pecans, for topping
For the Apple Topping:
2 tablespoons unsalted butter (1 ounce; 28g)2 cups Fuji apples, unpeeled and chopped into 1/2-inch pieces (9 1/2 ounces; 270g)3 tablespoons light brown sugar (1 1/2 ounces; 42g)1/2 teaspoon ground cinnamon1/8 teaspoon pumpkin pie spice (see notes)1/4 cup (60ml) maple syrup, plus more for serving
For the Maple Whipped Cream: 1 cup (240ml) heavy cream3 tablespoons (45ml) maple syrup","Prepare the Pancakes: In a medium bowl, whisk flour, baking powder, cinnamon, salt, baking soda, and pumpkin pie spice to combine. In a separate medium bowl, toss apples with brown sugar to evenly coat; let stand, stirring occasionally, until apples have released some liquid and broken down slightly, 20 to 30 minutes.
For the Apple Topping: While the apples macerate, melt butter in a medium saucepan over medium heat. Add apples, brown sugar, cinnamon, and pumpkin pie spice and cook, stirring frequently, until apples are tender and can be pierced easily with a knife, 10 to 15 minutes. Remove from heat and stir in maple syrup; set aside, covered, in a warm place.
For the Maple Whipped Cream: In a large bowl, combine heavy cream and maple syrup. Using an electric hand mixer, whip on medium speed until medium peaks form, about 2 minutes.  Cover and refrigerate until ready to use. (Whipped cream can also be prepared in the bowl of a stand mixer fitted with a whisk attachment.)
Whisk egg, milk, sour cream, melted butter, and vanilla into macerated apple mixture until well combined. Add apple mixture to flour mixture; using a whisk or flexible spatula, stir just until combined. Set a wire rack inside a rimmed baking sheet; set aside.
Heat a large nonstick griddle to medium heat (350°F/175ºC) or large nonstick skillet over medium. Using a 1/3 cup scoop, scoop batter onto griddle or skillet to form pancakes. Spread into 4-inch discs spaced 1/2- to 1-inch apart. Cook until bubbles start to appear on top of batter and bottoms are golden brown, 2 to 4 minutes, adjusting heat as needed to prevent overbrowning. Carefully flip pancakes and cook until bottoms are lightly golden and pancakes are cooked through, 2 to 4 minutes. Transfer to prepared wire rack. Repeat with remaining batter.
Serve pancakes immediately; garnish with apple topping, chopped toasted pecans, maple syrup, and maple whipped cream."
Caramel Sticky Buns,PT45M,PT50M,PT665M,12,N/A,"For the Filling:
4 ounces unsalted butter (8 tablespoons; 115g), creamy and soft, about 70°F (21°C)
6 ounces light brown candi sugar, such as Brewer&#39;s Best, or deeply toasted sugar (about 3/4 cup, gently packed; 170g)
1/4 ounce ground cinnamon (about 1 tablespoon; 7g)
1/2 teaspoon grated nutmeg
1/4 teaspoon (1g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight
For the Dough:
16 ounces all-purpose flour (about 3 1/2 cups, spooned; 450g), such as Gold Medal, plus more for rolling
3 1/2 ounces plain or lightly toasted sugar (about 1/2 cup; 100g)
2 teaspoons instant yeast, such as SAF (not rapid-rise; see note)
1 3/4 teaspoons (7g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight
1/4 teaspoon baking soda
4 ounces unsalted butter (8 tablespoons; 115g)
4 ounces milk (8 tablespoons; 115g), any percentage will do
8 ounces plain, unsweetened Greek yogurt (about 1 cup; 225g), any percentage will do
4 ounces toasted pecan halves, roughly chopped (a shy cup; 115g), or more to taste
For the Caramel Topping:
12 ounces light brown candi sugar, such as Brewer&#39;s Best, or deeply toasted sugar (about 1 1/2 cups; 340g)
4 ounces heavy cream, plain or toasted (about 1/2 cup; 115g)
1/4 teaspoon (1g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight","For the Filling: In the bowl of a stand mixer fitted with a paddle attachment, combine butter, candi or toasted sugar, cinnamon, nutmeg, and salt. Mix on low speed until moistened, then increase to medium and beat the dark paste until creamy, light in color, and very soft, about 5 minutes. Transfer to a zip-top bag or disposable pastry bag and set aside until needed, up to 24 hours at room temperature.
For the Dough: Wipe the bowl with a paper towel, then whisk together flour, sugar, yeast, salt, and baking soda until thoroughly combined. Melt butter in a 2-quart saucier over low heat, then stir in milk and yogurt, warming to about 80°F (27°C). Add to flour and stir to form a very dry and shaggy dough. With the hook attachment, knead on low until silky-smooth and elastic, so that it can be gently stretched into a thin but rough sheet without tearing, about 20 minutes.
First Rise: Cover bowl with plastic and set dough to rise until puffy, light, and doubled in bulk, about 90 minutes at roughly 70°F (21°C). If the dough feels dense, firm, or overly resilient, rest 15 minutes before testing again (this is more likely in chilly months).
For the Caramel Topping: Just before shaping the dough, line a 9- by 13- by 2-inch aluminum baking pan with parchment (or use two parchment-lined 8-inch by 3-inch round cake pans). Add the candi or toasted sugar to the pan, along with the salt and plain or toasted cream (or divide these evenly between the two pans). Mash with a fork to roughly combine.
Shaping: Turn dough onto a lightly floured surface, dust with flour, and roll into a 13-inch square. Snip a corner from the bag of cinnamon filling, squeeze over the dough, and spread into an even layer with an offset spatula. Sprinkle pecans on top and roll to form a 12-inch log, ending seam side down.
Slide an 8-inch strand of thread, unflavored dental floss, or butcher&#39;s twine under the dough until you reach the middle. Cross the ends over the top and pull tight to divide the log in two. Cut each half into six 1-inch slices and arrange in the prepared pan(s).
Second Rise: Cover rolls with foil and refrigerate overnight, or up to 48 hours. Adjust oven rack to middle position and preheat to 350°F (180°C); meanwhile, let the pan(s) stand at room temperature until oven is hot.
To Bake and Serve: Bake, covered, until the rolls are puffed and firm but pale, about 40 minutes. (If using dark pans, check on the cinnamon rolls after 25 minutes.) Remove the foil and continue baking until lightly browned, about 10 minutes more. Loosen rolls from the edge of a pan with a dull knife, then invert onto a serving plate (or plates). Serve immediately."
